Category,Path,Size_Bytes,SHA256,Source_Board_SHA256,Tool_Version,Export_Options,Artifact_State
Report_or_Log,manufacturing/stage3_final_revk/artwork_console.log,2540,74E34E3F051468973F20008390E4B3026985817EDACC60EEDF07BF3C1F9726A4,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X/Python 3.13,Audit or export evidence,Recorded
BOM,manufacturing/stage3_final_revk/bom_revk_interview_digital.csv,27611,767BF828DB3D05C9B6D5765EE3E87677FB328F52EFDFE6E8A117C07A49C44C56,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Python 3.13,Board-hash-bound review BOM,Interview_Only
CAM_Preview,manufacturing/stage3_final_revk/cam_preview/revk_film_assembly_top_with_ui.png,210064,6A15AA8E80C63059C5884CD7A3B7C07F2866312E7096FDB493A4F3F755BD8075,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X PCB Editor 25.1 S040,Native film view,Engineering_Review
CAM_Preview,manufacturing/stage3_final_revk/cam_preview/revk_film_l1_top_with_ui.png,206159,708F0675B056928B290A6310148C6844DA9F7CAD83DE94FC07BADE52307955BE,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X PCB Editor 25.1 S040,Native film view,Engineering_Review
CAM_Preview,manufacturing/stage3_final_revk/cam_preview/revk_film_l4_power_with_ui.png,197780,7D50FC41DF3ABEB5EE4DEF40566365C6F602ED9C156EDC9258F822CAD912CC40,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X PCB Editor 25.1 S040,Native film view,Engineering_Review
Report_or_Log,manufacturing/stage3_final_revk/export_status.csv,907,0C55F487CFF71AD97C62094D7236501E4A72CF6C4838ABA932AB01C175AEF881,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X/Python 3.13,Audit or export evidence,Recorded
Report_or_Log,manufacturing/stage3_final_revk/ipc2581_console.log,8094,ED3E44C30C86709517B0AC5B8C2674BC17FDCE0B14F27F6674749DABDF8648F4,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X/Python 3.13,Audit or export evidence,Recorded
Report_or_Log,manufacturing/stage3_final_revk/ipc2581_out.log,4716,F3D4CDA4AA69D802D01E336B254FC03ECA3E7DBE274C6E0D58CB48A0204ECCB1,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X/Python 3.13,Audit or export evidence,Recorded
Placement,manufacturing/stage3_final_revk/native_placement.csv,2685,DBE9CC98DB9A62AA8BDD7C4A7F221955F46E2947E64D8553180EE1E71AF27D5E,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X/Python 3.13,Native placement export,Preliminary_Not_For_Fabrication
Report_or_Log,manufacturing/stage3_final_revk/nc_param.txt,965,08DE3551FEA43A9AA1C3CA8505B6368FFD18D35DCC4359E36B7761F2D02617B9,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X/Python 3.13,Audit or export evidence,Recorded
Report_or_Log,manufacturing/stage3_final_revk/nc_tools_auto.txt,132,00B12A343CCA5628136F652785FA11EECC6F11BA86F17F15B09A1E97202EC82F,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X/Python 3.13,Audit or export evidence,Recorded
Report_or_Log,manufacturing/stage3_final_revk/ncdrill.log,2893,55492FA60A6D8332C7FEC52094A572BF939DAA78C4538080DC600EB8515816C0,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X/Python 3.13,Audit or export evidence,Recorded
Report_or_Log,manufacturing/stage3_final_revk/nctape_console.log,1584,2BD025355A541B0B5C92EFE55C1E6BC374152956D71483697E2EF6445B9368E3,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X/Python 3.13,Audit or export evidence,Recorded
NC_Drill,manufacturing/stage3_final_revk/pcie_gen3_x4_nvme_adapter_reva_revk_final-1-6-np.drl,418,54B875312DD4CF1F285B8CF01FF287FEFE6D0058F302A290D630EE80D185B490,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X PCB Editor 25.1 S040,Excellon batch export; auto tool table retained,Engineering_Review_Not_For_Fabrication
NC_Drill,manufacturing/stage3_final_revk/pcie_gen3_x4_nvme_adapter_reva_revk_final-1-6.drl,2321,CB30B3047C2729C8F523D9B5219453D6B880F16E46221636A12BEE11DE2DD16E,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X PCB Editor 25.1 S040,Excellon batch export; auto tool table retained,Engineering_Review_Not_For_Fabrication
IPC2581,manufacturing/stage3_final_revk/pcie_gen3_x4_nvme_adapter_reva_revk_final_ipc2581.xml,1567224,26FC124B47BE6017C94937266920D80A5615BA31A1B957F3A52D1F86A3C081AC,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X PCB Editor 25.1 S040,IPC-2581-C; mm; masks/paste/silkscreen included,Engineering_Review_Not_For_Fabrication
Assembly_STEP,manufacturing/stage3_final_revk/pcie_gen3_x4_nvme_adapter_reva_revk_final_preliminary.step,8939536,DB176B106DC8D612EBFF79B8306FD327B831017CC22861F32DA83B99DF441EE0,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X 3DX Canvas 25.1 S040,mm; STEP AP242; TOP/UPPER datum; internal conductors/vias excluded,Preliminary_Mechanical
Report_or_Log,manufacturing/stage3_final_revk/photoplot.log,18791,761F2136D734CE7EEAB12A8AD2A656754818C0572799EBD36AA0B457C325531F,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X/Python 3.13,Audit or export evidence,Recorded
Placement,manufacturing/stage3_final_revk/pick_and_place_revk_preliminary.csv,8911,2C36EB3E2A58A45EE84BF1FB621ECE8183DBBFFB01E76357BDC2E2F541D64E12,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X/Python 3.13,Native placement export,Preliminary_Not_For_Fabrication
Native_Board,pcb/allegro/stage3/pcie_gen3_x4_nvme_adapter_reva_stage3_route_revk_interview_digital_complete.brd,2083392,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X PCB Professional Plus 25.1 S040,Native database,Interview_Digital_Complete
Report_or_Log,pcb/allegro/stage3/stage3_revk_closure_audit.txt,1097,B4300C28E8CE3E4161A79546D0ADB7BB510B1E49CBCDFEFC82E63CE16F39345F,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X/Python 3.13,Audit or export evidence,Recorded
Report_or_Log,pcb/allegro/stage3/stage3_revk_native_diffpair_reopen_audit.txt,819,440B241F02397D903A1A54AD4D70BBDB2012690680D5CF0B5DF65ABFB1D12722,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X/Python 3.13,Audit or export evidence,Recorded
Report_or_Log,pcb/allegro/stage3/stage3_revk_shape_island_closure_report.txt,580,9403C6D3481C7FD52E09C486CB242C110E6B30AA401F46EB0E213B9CEE022F00,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X/Python 3.13,Audit or export evidence,Recorded
PSpice_Sweep,pspice/stage3/recovery_sweep/recovery_sweep_results.csv,7970,2F5471C36A004B1F4DD15A0074488DDA04632A5A9AF90B9607A8CAC80A23F1A9,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,PSpice 25.1,15 s per-case runtime limit,Not_Concluded_Runtime_Limit
Report_or_Log,validation/stage3_fabrication_and_bringup_gate.md,2578,045B74EDFD6043F826FB1CFD5C7A2B3BB799505EFEFE0AE6CC3A2D0BBD001592,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,OrCAD X/Python 3.13,Audit or export evidence,Recorded
