RefDes,Package,X_mm,Y_mm,Rotation_deg,Side,Assembly_Disposition,Source_Board_SHA256,Release_Disposition
RSH1,VISHAY_WSK2512_4T,92.0000,56.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
U2,TI_RPY14_2P5X3P0,69.0000,56.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
C15,C_0402_1005M,50.0000,10.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
C16,C_0402_1005M,69.0000,21.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
C17,C_0402_1005M,74.0000,21.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
FB1,MURATA_BLM21_0805,78.0000,15.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
R15,R_0603_1608M,54.0000,21.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
R16,R_0603_1608M,57.0000,21.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
U3,TI_DGS10_VSSOP,50.0000,15.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
U4,TI_D8_SOIC,61.0000,15.0000,0.0,TOP,Populate,C772E9C3CD7A04A2CE3FBD1F5AE659E0935B786B235B17354DB83371BB4FF3EA,Preliminary_Not_For_Fabrication
