Signal,Minimum,Maximum,Final_Average,Final_PeakToPeak,Last_Value,Sample_Count,First_NVME_Threshold_Time_s,CSDF_SHA256
V(P3V3_PRE),0.01514,3.4,3.33104887,0.063,3.327,184102,,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
V(P3V3_NVME),0.01514,3.375,3.32711466,0.083,3.324,184102,0.000966367356,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
V(PGOOD),0.5,4.5,4.49954398,0.006,4.5,184102,,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
V(FB),0.002294,0.5165,0.504970827,0.0111,0.5038,184102,,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
V(SW),-0.7601,12.7,4.27224444,13.452,-0.003929,184102,,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
I(L1),-0.5394,8.656,0.88450304,6.4584,0.5952,184102,,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
I(RSHUNT),1.527e-14,7,0.782525357,4.5,0.5,184102,,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
I(VINPUT),-8.656,0.5323,-0.407207263,6.4513,-6.238e-06,184102,,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
