Window,Start_us,End_us,Signal,Minimum,Maximum,Average,PeakToPeak,Sample_Count,CSDF_SHA256
RECOVERY_1330_1340,1330,1340,I(L1),1.982,8.472,6.44432091,6.49,1502,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1330_1340,1330,1340,I(RSHUNT),5,5,5,0,1502,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1330_1340,1330,1340,I(VINPUT),-8.471,-6.238e-06,-2.150578,8.47099376,1502,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1340_1350,1340,1350,V(P3V3_PRE),3.325,3.4,3.37642335,0.075,1396,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1340_1350,1340,1350,V(P3V3_NVME),3.3,3.375,3.35142335,0.075,1396,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1340_1350,1340,1350,V(PGOOD),4.499,4.5,4.49943983,0.001,1396,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1340_1350,1340,1350,V(FB),0.5058,0.5165,0.512064613,0.0107,1396,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1340_1350,1340,1350,V(SW),-0.7574,11.92,3.85255405,12.6774,1396,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1340_1350,1340,1350,I(L1),3.214,7.622,5.51022063,4.408,1396,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1340_1350,1340,1350,I(RSHUNT),5,5,5,0,1396,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1340_1350,1340,1350,I(VINPUT),-7.622,-6.238e-06,-2.0210047,7.62199376,1396,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1350_1360,1350,1360,V(P3V3_PRE),3.286,3.359,3.30797416,0.073,1316,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1350_1360,1350,1360,V(P3V3_NVME),3.261,3.334,3.28297416,0.073,1316,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1350_1360,1350,1360,V(PGOOD),4.5,4.5,4.5,0,1316,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1350_1360,1350,1360,V(FB),0.497,0.5085,0.501000456,0.0115,1316,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1350_1360,1350,1360,V(SW),-0.752,11.92,4.03829853,12.672,1316,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1350_1360,1350,1360,I(L1),3.093,5.913,4.42011398,2.82,1316,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1350_1360,1350,1360,I(RSHUNT),5,5,5,0,1316,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
RECOVERY_1350_1360,1350,1360,I(VINPUT),-5.912,-6.238e-06,-1.67361168,5.91199376,1316,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E
