Page,RefDes,Symbol,Value,Footprint,MPN,Assembly_Disposition,Status
06_POWER_TELEMETRY,R16,RESISTOR,4.7 kOhm,R_0603_1608M,RC0603FR-074K7L,Populate,Engineering_Assumption
06_POWER_TELEMETRY,U3,INA238_DGS,INA238AIDGSR,TI_DGS10_VSSOP,INA238AIDGSR,Populate,Engineering_Assumption
06_POWER_TELEMETRY,U4,TMP1075_D,TMP1075DR,TI_D8_SOIC,TMP1075DR,Populate,Engineering_Assumption
07_DEBUG_AND_TESTPOINTS,C18,CAPACITOR_NP,1 uF,C_0603_1608M,C1608X7R1C105K080AC,Populate,Engineering_Assumption
07_DEBUG_AND_TESTPOINTS,D1,LED,GREEN,LED_0603_1608M,LTST-C190KGKT,Populate,Engineering_Assumption
07_DEBUG_AND_TESTPOINTS,J3,I2C_DEBUG_1X4,TSW-104-08-L-S-RA,HDR_1X4_2P54_RA,TSW-104-08-L-S-RA,Populate,Engineering_Assumption
07_DEBUG_AND_TESTPOINTS,Q1,2N7002_SOT23,2N7002-7-F,SOT23_STANDARD,2N7002-7-F,Populate,Engineering_Assumption
07_DEBUG_AND_TESTPOINTS,R17,RESISTOR,10 kOhm,R_0603_1608M,RC0603FR-0710KL,Populate,Engineering_Assumption
07_DEBUG_AND_TESTPOINTS,R18,RESISTOR,10 kOhm,R_0603_1608M,RC0603FR-0710KL,Populate,Engineering_Assumption
07_DEBUG_AND_TESTPOINTS,R19,RESISTOR,1 kOhm,R_0603_1608M,RC0603FR-071KL,Populate,Engineering_Assumption
07_DEBUG_AND_TESTPOINTS,RISO1,RESISTOR,10 kOhm,R_0603_1608M,RC0603FR-0710KL,Populate,Engineering_Assumption
07_DEBUG_AND_TESTPOINTS,TP1,TESTPOINT,S1751-46R,HARWIN_S1751_46R,S1751-46R,Populate,Engineering_Assumption
07_DEBUG_AND_TESTPOINTS,TP2,TESTPOINT,S1751-46R,HARWIN_S1751_46R,S1751-46R,Populate,Engineering_Assumption
07_DEBUG_AND_TESTPOINTS,TP3,TESTPOINT,S1751-46R,HARWIN_S1751_46R,S1751-46R,Populate,Engineering_Assumption
07_DEBUG_AND_TESTPOINTS,TP4,TESTPOINT,S1751-46R,HARWIN_S1751_46R,S1751-46R,Populate,Engineering_Assumption
07_DEBUG_AND_TESTPOINTS,TP5,TESTPOINT,S1751-46R,HARWIN_S1751_46R,S1751-46R,Populate,Engineering_Assumption
07_DEBUG_AND_TESTPOINTS,TP6,TESTPOINT,S1751-46R,HARWIN_S1751_46R,S1751-46R,Populate,Engineering_Assumption
07_DEBUG_AND_TESTPOINTS,TP7,TESTPOINT,S1751-46R,HARWIN_S1751_46R,S1751-46R,Populate,Engineering_Assumption
07_DEBUG_AND_TESTPOINTS,TP8,TESTPOINT,S1751-46R,HARWIN_S1751_46R,S1751-46R,Populate,Engineering_Assumption
07_DEBUG_AND_TESTPOINTS,TP9,TESTPOINT,S1751-46R,HARWIN_S1751_46R,S1751-46R,Populate,Engineering_Assumption
07_DEBUG_AND_TESTPOINTS,U5,ADP198_CP8,ADP198ACPZ-R7,ADI_CP_8_10,ADP198ACPZ-R7,Populate,Engineering_Assumption
