RefDes,Pin_Number,Net_Name
U4,3,TEMP_ALERT_N
U4,4,GND
U4,5,GND
U4,6,GND
U4,7,GND
U4,8,P3V3_AUX
U5,1,P3V3_SENSE_PROTECTED
U5,2,P3V3_SENSE_PROTECTED
U5,3,GND
U5,4,GND
U5,5,GND
U5,6,P3V3_AUX
U5,7,P3V3_AUX
U5,8,P3V3_AUX
U5,EP,GND
J1,A10,P3V3_SLOT_UNUSED
J1,A9,P3V3_SLOT_UNUSED
J1,B8,P3V3_SLOT_UNUSED
